depth_ft,GR_api,RHOB_gcc,NPHI,DT_usft,RT_ohm_m,SP_mv,PHI_true,PERM_mD,SW_true
1000.0,39.82,2.5995,0.0229,59.434,492.381,-46.6,0.0296,0.000605,0.5243
1001.3342228152102,42.13,2.3954,0.1826,79.375,50.7783,-62.72,0.1654,1.582918,0.2976
1002.6684456304203,39.81,2.478,0.1093,68.501,49.7435,-56.74,0.1061,0.245223,0.4282
1004.0026684456304,29.29,2.5228,0.087,67.568,62.3313,-91.47,0.0898,1.013221,0.4055
1005.3368912608406,32.32,2.5478,0.0893,65.092,80.3524,-44.65,0.0718,0.137232,0.4388
1006.6711140760507,129.59,2.6891,0.0182,52.728,246.9939,-0.0,0.0285,0.00011,0.7843
1008.0053368912609,35.71,2.5897,0.0134,59.58,433.111,-37.9,0.0341,0.013776,0.5054
1009.3395597064709,130.11,2.6562,0.0613,56.358,53.1132,-0.0,0.0481,0.000408,0.8739
1010.6737825216811,34.91,2.574,0.0766,63.86,126.3245,-58.84,0.0589,0.016704,0.5029
1012.0080053368913,20.43,2.546,0.0682,66.17,76.0217,-68.53,0.0771,0.101509,0.471
1013.3422281521014,60.74,2.5475,0.1021,65.095,78.6853,-32.63,0.0662,0.036198,0.5744
1014.6764509673116,31.59,2.4151,0.1161,73.877,39.4629,-46.28,0.1352,1.076228,0.3656
1016.0106737825217,40.91,2.4342,0.0958,70.944,38.2381,-50.98,0.1133,0.721148,0.4451
1017.3448965977318,93.2,2.6839,0.0324,53.827,488.1184,-9.98,0.02,0.000125,0.7622
1018.679119412942,105.34,2.6506,0.0746,58.85,29.6015,-4.29,0.0772,0.004329,0.7789
1020.013342228152,38.91,2.514,0.0532,65.315,60.6745,-45.68,0.0706,0.11402,0.5488
1021.3475650433622,35.26,2.5735,0.0586,60.613,284.2871,-41.36,0.054,0.031741,0.326
1022.6817878585724,44.63,2.5233,0.0371,65.697,67.4238,-71.56,0.0715,0.062074,0.4974
1024.0160106737826,57.1,2.4804,0.1002,68.441,32.245,-54.07,0.1023,0.148228,0.4853
1025.3502334889927,36.51,2.4138,0.1522,77.214,23.8112,-72.65,0.1598,2.128856,0.3809
1026.6844563042027,52.36,2.625,0.0301,57.231,429.5978,-30.03,0.0222,0.00014,0.6665
1028.018679119413,33.57,2.5853,0.0436,61.04,375.3915,-52.34,0.031,0.004983,0.5578
1029.352901934623,44.13,2.5435,0.0903,63.694,90.5374,-55.68,0.0643,0.027686,0.5648
1030.6871247498332,34.01,2.4472,0.1306,72.269,30.3472,-68.3,0.124,2.619299,0.4604
1032.0213475650435,39.57,2.4125,0.1699,77.853,40.7251,-32.09,0.1669,0.565769,0.3338
1033.3555703802535,78.67,2.6581,0.0451,52.184,302.0366,-27.02,0.0223,0.0001,0.7228
